iter	Passed	Remaining
0	0	911
1	1	842
2	2	789
3	3	761
4	3	748
5	4	742
6	5	730
7	5	717
8	6	703
9	7	699
10	7	697
11	8	708
12	9	704
13	10	706
14	10	703
15	11	695
16	11	692
17	12	693
18	13	687
19	13	685
20	14	686
21	15	687
22	16	685
23	16	681
24	17	676
25	18	675
26	18	672
27	20	701
28	20	699
29	21	702
30	22	698
31	23	696
32	23	696
33	24	697
34	25	693
35	25	693
36	27	706
37	27	703
38	28	703
39	29	699
40	29	697
41	30	692
42	31	691
43	31	688
44	32	685
45	33	686
46	33	687
47	34	683
48	35	683
49	35	680
50	36	678
51	37	676
52	37	673
53	38	670
54	38	668
55	39	669
56	40	669
57	41	669
58	41	668
59	42	667
60	43	666
61	43	664
62	44	663
63	45	660
64	45	659
65	46	660
66	47	659
67	47	657
68	48	656
69	49	654
70	49	653
71	50	651
72	51	652
73	52	651
74	52	651
75	53	654
76	54	652
77	55	650
78	55	649
79	56	648
80	57	647
81	57	645
82	57	640
83	58	640
84	59	641
85	60	641
86	60	640
87	61	639
88	62	638
89	62	636
90	63	635
91	64	634
92	64	633
93	65	631
94	66	632
95	67	631
96	67	630
97	68	629
98	69	628
99	69	626
100	70	625
101	70	623
102	71	623
103	72	622
104	73	622
105	73	621
106	74	620
107	74	619
108	75	618
109	76	617
110	77	617
111	77	616
112	78	617
113	79	616
114	80	616
115	80	614
116	81	612
117	81	611
118	82	610
119	83	609
120	83	609
121	84	607
122	85	606
123	85	604
124	86	603
125	86	602
126	87	600
127	87	599
128	88	597
129	89	596
130	89	596
131	90	595
132	91	594
133	91	592
134	92	591
135	92	589
136	93	588
137	93	586
138	94	584
139	95	584
140	95	583
141	96	581
142	97	581
143	97	580
144	98	579
145	98	577
146	99	576
147	100	576
148	100	575
149	101	574
150	102	573
151	102	574
152	103	573
153	104	571
154	104	570
155	105	571
156	106	573
157	107	571
158	107	570
159	108	570
160	109	568
161	109	567
162	110	565
163	110	564
164	111	563
165	111	562
166	112	560
167	112	559
168	113	558
169	114	557
170	115	558
171	116	558
172	116	557
173	117	557
174	117	555
175	118	555
176	119	554
177	119	553
178	120	552
179	121	551
180	121	551
181	122	550
182	123	550
183	123	549
184	124	548
185	125	547
186	125	546
187	126	548
188	127	547
189	128	548
190	129	548
191	130	547
192	130	546
193	131	545
194	131	544
195	132	543
196	133	544
197	134	543
198	135	543
199	135	542
200	136	542
201	137	541
202	137	540
203	138	539
204	138	538
205	139	537
206	140	536
207	141	537
208	141	537
209	142	536
210	143	536
211	144	535
212	144	534
213	145	533
214	145	532
215	146	531
216	147	530
217	147	530
218	148	529
219	149	529
220	149	528
221	150	527
222	151	526
223	151	526
224	152	525
225	153	525
226	153	524
227	154	523
228	155	522
229	155	521
230	156	520
231	157	520
232	157	519
233	158	518
234	158	517
235	159	517
236	160	516
237	161	515
238	161	514
239	162	513
240	162	513
241	163	512
242	164	511
243	164	510
244	165	509
245	165	508
246	166	507
247	167	508
248	168	507
249	169	507
250	169	506
251	170	505
252	170	504
253	171	503
254	172	502
255	172	502
256	174	504
257	175	503
258	175	502
259	176	501
260	176	501
261	177	500
262	178	500
263	179	499
264	180	499
265	180	499
266	181	498
267	182	498
268	183	497
269	183	496
270	184	495
271	185	495
272	185	494
273	186	493
274	187	493
275	188	493
276	188	493
277	189	492
278	190	492
279	191	491
280	191	491
281	192	490
282	193	489
283	194	489
284	194	489
285	195	488
286	196	487
287	196	486
288	197	485
289	198	485
290	198	484
291	199	483
292	200	483
293	200	482
294	201	482
295	202	481
296	203	480
297	203	479
298	204	479
299	204	478
300	205	477
301	206	477
302	207	477
303	208	476
304	208	475
305	209	475
306	210	474
307	211	474
308	211	473
309	212	473
310	213	472
311	214	471
312	214	471
313	215	470
314	216	469
315	216	469
316	217	468
317	218	468
318	219	468
319	220	468
320	220	467
321	221	466
322	222	465
323	222	465
324	223	464
325	224	463
326	225	463
327	225	462
328	226	462
329	227	462
330	228	461
331	228	460
332	229	460
333	230	459
334	231	459
335	232	458
336	233	458
337	233	457
338	234	457
339	235	456
340	235	456
341	236	455
342	237	454
343	238	454
344	239	454
345	240	453
346	240	453
347	241	452
348	242	452
349	243	452
350	244	451
351	245	451
