"gender, ['female' 'male']","race_ethnicity, ['group B' 'group C' 'group A' 'group D' 'group E']","parental_level_of_education, [""bachelor's degree"" 'some college' ""master's degree"" ""associate's degree""
 'high school' 'some high school']","lunch, ['standard' 'free/reduced']","test_preparation_course, ['none' 'completed']",reading_score,writing_score
[1. 0.],[0. 1. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],0.19399858403803502,0.3914918076496706
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],1.4274759816659497,1.3132686840532009
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 1. 0. 0.],[0. 1.],[0. 1.],1.7701085921181483,1.6424747113401759
[0. 1.],[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.8338992473185606,-1.5837443560721798
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],0.6051577165806732,0.45733301310706564
[1. 0.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],0.9477903270328718,0.6548566294792506
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],1.7701085921181483,1.5766335058827807
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[0. 1.],-1.7932705565847165,-1.9129503833591548
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[1. 0.],-0.35421359268548264,-0.06939663055209448
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[0. 1.],-0.6283196810472415,-1.1886971233278096
[0. 1.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-1.0394788135898796,-1.0570147124130196
[0. 1.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-1.176531857770759,-1.6495855615295747
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],0.8107372828519923,0.3256506021922756
[0. 1.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],0.19399858403803502,0.12812698582009055
[1. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 1. 0. 0.],[0. 1.],[0. 1.],-1.1080053356803194,-0.6619674796686495
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],0.3995781503093541,0.6548566294792506
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],1.35894945957551,1.1815862731384108
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[1. 0.],[0. 1.],-2.547062299579553,-2.6372036433905
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 0. 1. 0. 0.],[1. 0.],[1. 0.],-1.861797078675156,-1.4520619451573897
[1. 0.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.7653727252281208,-0.46444386329646453
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],-0.0115809822332841,-0.33276145238167454
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[1. 0.],0.3995781503093541,0.12812698582009055
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-1.0394788135898796,-0.9911735069556247
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],0.26252510612847474,0.3256506021922756
[0. 1.],[0. 0. 0. 1. 0.],[0. 1. 0. 0. 0. 0.],[1. 0.],[1. 0.],0.1254720619475953,0.7865390403940407
[0. 1.],[1. 0. 0. 0. 0.],[0. 0. 0. 1. 0. 0.],[1. 0.],[0. 1.],0.33105162821891443,0.25980939673488057
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-1.0394788135898796,-0.8594910960408346
[1. 0.],[0. 0. 1. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.0115809822332841,0.45733301310706564
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],0.05694553985715561,-0.2010790414668845
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 1. 0. 0.],[0. 1.],[0. 1.],0.05694553985715561,0.45733301310706564
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],0.33105162821891443,0.3914918076496706
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-0.2856870705950429,-0.46444386329646453
[1. 0.],[0. 0. 0. 0. 1.],[0. 0. 0. 1. 0. 0.],[1. 0.],[0. 1.],0.19399858403803502,-0.2010790414668845
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-1.861797078675156,-1.97879158881655
[0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],1.2218964153946306,0.9182214513088307
[0. 1.],[0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],[0. 1.],[1. 0.],0.8107372828519923,0.7206978349366456
[1. 0.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],0.8107372828519923,0.9840626567662257
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[1. 0.],[0. 1.],-0.35421359268548264,-0.5961262742112545
[1. 0.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[1. 0.],1.4274759816659497,1.3132686840532009
[0. 1.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.9024257694090002,-0.7278086851260446
[0. 1.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.5597931589568017,-0.9253323014982296
[1. 0.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],0.26252510612847474,-0.0035554250946994654
[1. 0.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.7653727252281208,-0.2010790414668845
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[1. 0.],-0.2856870705950429,-0.1352378360094895
[1. 0.],[0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.9024257694090002,-0.9253323014982296
[0. 1.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-1.0394788135898796,-0.7278086851260446
[1. 0.],[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[1. 0.],-0.2856870705950429,-0.39860265783906956
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],0.1254720619475953,0.5231742185644607
[1. 0.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[1. 0.],0.33105162821891443,0.5231742185644607
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[1. 0.],1.0163168491233114,0.9182214513088307
[0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-0.97095229149944,-1.3203795342425997
[0. 1.],[0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],[1. 0.],[1. 0.],-0.0115809822332841,-0.0035554250946994654
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-1.7247440344942766,-1.7154267669869698
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],0.6051577165806732,0.45733301310706564
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1.],[1. 0.],[1. 0.],1.0163168491233114,1.2474274785958057
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[0. 1.],-1.9303236007655957,-1.6495855615295747
[1. 0.],[0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],[0. 1.],[1. 0.],1.084843371213751,1.1815862731384108
[0. 1.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.97095229149944,-1.2545383287852048
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],-0.6968462031376811,-0.6619674796686495
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1.],[1. 0.],[0. 1.],-3.5749601309361485,-3.82234534162361
[0. 1.],[0. 0. 0. 0. 1.],[0. 1. 0. 0. 0. 0.],[1. 0.],[1. 0.],0.33105162821891443,0.25980939673488057
[0. 1.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[1. 0.],[0. 1.],-2.067376644946475,-2.24215641064613
[0. 1.],[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.5597931589568017,-0.8594910960408346
[1. 0.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],0.7422107607615527,0.19396819127748557
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],-0.7653727252281208,-0.5961262742112545
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],-0.35421359268548264,-0.46444386329646453
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[1. 0.],[0. 1.],-2.2044296891273545,-2.044632794273945
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],0.19399858403803502,0.3914918076496706
[0. 1.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.7653727252281208,-0.7936498905834396
[1. 0.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.35421359268548264,-0.7278086851260446
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[1. 0.],-0.4227401147759223,0.3256506021922756
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],-0.97095229149944,-0.33276145238167454
[1. 0.],[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-1.2450583798611987,-1.3203795342425997
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1.],[1. 0.],[0. 1.],-0.8338992473185606,-0.7936498905834396
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],-1.3821114240420782,-1.7812679724443647
[0. 1.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-1.9303236007655957,-1.97879158881655
[0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],-2.9582214321221914,-3.03225087613487
[0. 1.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[1. 0.],0.6051577165806732,0.8523802458514357
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[1. 0.],0.33105162821891443,0.25980939673488057
[1. 0.],[0. 0. 0. 0. 1.],[0. 0. 0. 1. 0. 0.],[0. 1.],[0. 1.],-0.08010750432372381,-0.0035554250946994654
[1. 0.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-1.3821114240420782,-1.1886971233278096
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[0. 1.],-1.656217512403837,-1.5179031506147846
[0. 1.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[1. 0.],-1.5191644682229575,-0.9253323014982296
[0. 1.],[0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.35421359268548264,-0.33276145238167454
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[0. 1.],-2.067376644946475,-2.24215641064613
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],0.7422107607615527,0.9182214513088307
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[0. 1.],0.9477903270328718,1.3132686840532009
[1. 0.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],0.1254720619475953,0.3914918076496706
[1. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],0.05694553985715561,-0.06939663055209448
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],1.153369893304191,0.9182214513088307
[1. 0.],[0. 0. 1. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],0.19399858403803502,0.3914918076496706
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[0. 1.],-2.410009255398674,-2.1104739997313398
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],0.6736842386711129,0.19396819127748557
[0. 1.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[1. 0.],-1.656217512403837,-1.1886971233278096
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],1.153369893304191,1.5766335058827807
[0. 1.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[1. 0.],0.8107372828519923,0.9182214513088307
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[1. 0.],-0.2171605485046032,-0.39860265783906956
[1. 0.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],0.19399858403803502,0.12812698582009055
